Dados do Plano de Aplicação SENASP,,,,,,,,,,Dados do Projeto,,,,,Dados da Execução,,,,,,,,Monitoramento,,,5/2/2026
Ano,Programa,Nº TA,Objeto,Descrição do Objeto,Quantidade do plano,Unidade de Medida,Valor (R$),Aplicação,Municípios beneficiados,SGP-e Projeto,Objeto do Projeto,Ano Entrega,Quantidade do projeto,Valor do projeto,SGP-e Execução,Link SGPe execução,Objeto Executado,Modalidade de Contratação,Quantidade executada,Valor Executado,Ano da Execução,Sgpe Status Report,Cronograma,Último Report (data),Status Report,
2024,EVM,TA 71/2024,Seminário,Realização de seminários de capacitação e aperfeiçoamento para policiais militares que atuam no programa de prevenção e atendimento às mulheres em situação de violência - Rede Catarina,150,PM Capacitado,"R$ 308.573,30",Custeio,Abrangência estadual (policiais militares do Programa Rede Catarina),,,,,,,,"R$ 0,00",Nova Licitação,,,,,M1 – Project Model Canvas adaptado,23/04/2026,Projeto em fase de iniciação pela SPI,
2024,EVM,TA 71/2024,Viatura Policial,Veículo leve para emprego operacional geral (tração 4x2) para o fortalecimento operacional do Programa Rede Catarina,5,Viatura PM,"R$ 720.004,40",Investimento,"Florianópolis, Joinville, Blumenau, Chapecó e Itajaí",SSP 2859/2025,Viatura Policial,2025,6,"R$ 746.100,00",SSP 2859/2025,https://sgpe.sea.sc.gov.br//sgpe/openPage?openAddress=eyJhZGRyZXNzIjoiL2NwYXYvdmlzdWFsaXphclByb2Nlc3NvLmRvP3Byb2Nlc3NvUEs9Mjg2Miw2OTY4LDIwMjUiLCJjdXJyZW50TW9kdWxlIjp7ImNkTW9kdWxvIjoiU0dQRSIsImNkU2lzdGVtYSI6IjEiLCJubU1vZHVsbyI6IiJ9fQ%3D%3D,Viatura Policial,Adesão em Ata,6,"R$ 746.100,00",2025,,M14 – Entrega ou serviço realizado,13/04/2026,Aguardando termo de recebimento das viaturas; emissão de novo empenho (2026); certificação de notas e pagamento; empenho emitido; aguardando certificação e pagamento; processo de pagamento por instrução de Despesas de Exercícios Anteriores,
2023,EVM,TA 24/2023,Seminário,Contratação de empresa para realização de seminários de capacitação e aperfeiçoamento para policiais militares que atuam no programa de prevenção e atendimento às mulheres em situação de violência - Rede Catarina,100,PM Capacitado,"R$ 200.000,00",Custeio,Abrangência estadual,PMSC 26354/2024,Seminário,2025,100,"R$ 199.455,00",PMSC 26354/2024,https://sgpe.sea.sc.gov.br//sgpe/openPage?openAddress=eyJhZGRyZXNzIjoiL2NwYXYvdmlzdWFsaXphclByb2Nlc3NvLmRvP3Byb2Nlc3NvUEs9MjY0MDEsNjE0MSwyMDI0IiwiY3VycmVudE1vZHVsZSI6eyJjZE1vZHVsbyI6IlNHUEUiLCJjZFNpc3RlbWEiOiIxIiwibm1Nb2R1bG8iOiIifX0%3D,Seminário,Nova Licitação,91,"R$ 148.890,00",2025,,M19 – Termo de Encerramento juntado,20/02/2026,Termo de Encerramento juntado. Falta arquivar.,
2023,EVM,TA 24/2023,Material Gráfico,Contratação de empresa para o fornecimento de impressão de materiais gráficos para campanhas de conscientização Divulgação e conscientização do Programa Rede Catarina,65.000,Unidade,"R$ 65.010,29",Custeio,Abrangência estadual,PMSC 26363/2024,Material Gráfico,2025,41.350,"R$ 56.000,50",PMSC 26363/2024,https://sgpe.sea.sc.gov.br//sgpe/openPage?openAddress=eyJhZGRyZXNzIjoiL2NwYXYvdmlzdWFsaXphclByb2Nlc3NvLmRvP3Byb2Nlc3NvUEs9MjY0MTAsNjE0MSwyMDI0IiwiY3VycmVudE1vZHVsZSI6eyJjZE1vZHVsbyI6IlNHUEUiLCJjZFNpc3RlbWEiOiIxIiwibm1Nb2R1bG8iOiIifX0%3D,"Aquisição de 350 Banners; 35.000 Flyers; 
2.000 Blocos de notas; 2.000 Certificados Protetores do lar; 
2.000 Pastas personalizadas",Nova Licitação,41.350,"R$ 32.080,50",2025,,M19 – Termo de Encerramento juntado,30/04/2026,"Aquisição de 350 Banners; 35.000 Flyers; 
2.000 Blocos de notas; 2.000 Certificados Protetores do lar; 
2.000 Pastas personalizadas",
2023,EVM,TA 24/2023,Software,Desenvolivmento de software para o atendimento das vítimas de violência doméstica,1,Sistema,"R$ 200.000,00",Investimento,Abrangência estadual,,,,,,,,,,,,,,Projeto cancelado,,"Itens de investimento do Plano: Colete, Smartphone e Notebook. Sugerir que seja realizado um projeto com o recurso remanescente ou alterar o objeto.",
2023,EVM,TA 24/2023,Colete de proteção balística,Colete de proteção balística nível III-A para o fortalecimento da segurança do efetivo do Programa Rede Catarina,150,Unidade,"R$ 270.000,00",Investimento,Abrangência estadual,PMSC 26368/2024,Coletes de proteção balística,2025,200,"R$ 285.364,00",PMSC 26368/2024,https://sgpe.sea.sc.gov.br/cpavPasta/view?chaveProcesso=NjE0MV8yMDI0XzI2NDE1LTE%3D,Coletes de proteção balística,Adesão em Ata,200,"R$ 285.364,00",2026,13/04/2026,M13 – Entrega ou serviço realizado,19/03/2026,"Solicitado ao NLIC/SSP a renovação do empenho, em razão do cancelamento pelo encerramento do exercício financeiro de 2025; Processo está para pré-empenho 2026; processo empenhado; material entregue; processo retornou para pré-empenho; código NUC do TR está errado",
2023,EVM,TA 24/2023,Notebook,Notebooks para uso operacional dos integrantes da Rede Catarina,15,Unidade,"R$ 74.178,69",Investimento,Abrangência estadual,PMSC 26821/2024,Microcomputador,2025,20,"R$ 78.357,80",PMSC 26821/2024,"https://sgpe.sea.sc.gov.br/cpav/visualizarProcesso.do?processoPK=26868,6141,2024",20 Microcomputadores,Adesão em Ata,,"R$ 77.417,50",2026,02/03/2026,M16 – Pagamento realizado,13/04/2026,Processo está aguardando pré-empenho para 2026; Pagamento realizado em 05/04/2026,
2023,EVM,TA 24/2023,Smartphone,Smartphones para melhorar a mobilidade e atendimento em campo do Programa Rede Catarina,30,Unidade,"R$ 74.178,68",Investimento,Abrangência estadual,SSP 2084/2025,Smartphone,2025,,"R$ 74.970,00",SSP 2084/2025,https://sgpe.sea.sc.gov.br//sgpe/openPage?openAddress=eyJhZGRyZXNzIjoiL2NwYXYvdmlzdWFsaXphclByb2Nlc3NvLmRvP3Byb2Nlc3NvUEs9MjA4Niw2OTY4LDIwMjUiLCJjdXJyZW50TW9kdWxlIjp7ImNkTW9kdWxvIjoiU0dQRSIsImNkU2lzdGVtYSI6IjEiLCJubU1vZHVsbyI6IiJ9fQ%3D%3D,,Adesão em Ata,,"R$ 74.970,00",2025,02/03/2026,M18 – Termo de Encerramento juntado,,Termo de Encerramento juntado. ,
2025,EVM,TA 71/2025,Seminário,Realização de seminários de capacitação e aperfeiçoamento para policiais militares que atuam no programa de prevenção e atendimento às mulheres em situação de violência - Rede Catarina,1,PM Capacitado,"R$ 250.000,00",Custeio,Abrangência estadual,,,,,,,,,Nova Licitação,,,,,Projeto não iniciado,,,
2025,EVM,TA 71/2025,Material Gráfico,"Contratação de empresa para confecção de material gráfico (panfletos, folders, faixas, banners e similares) para Divulgação e conscientização do Programa Rede Catarina",50000,Unidade,"R$ 80.604,75",Custeio,Abrangência estadual,,,,,,,,,Nova Licitação,,,,,Projeto não iniciado,,,
